None,content_type,title,director,cast,country,date_added,release_year,rating,duration,genres,description,date_added_formatted
s5755,Movie,sky ladder: the art of cai guo-qiang,kevin macdonald,cai guo-qiang,usa,2016-10-14,2016,tv-ma,1h 20m,documentaries,"Known for his spectacular pyrotechnic displays, Chinese artist Cai Guo-Qiang creates his most ambitious project yet in this breathtaking documentary.",14-10-2016
s5756,Movie,mascots,christopher guest,"carrie aizley, sarah baker, bob balaban, ed begley jr., tom bennett, maria blasucci, jennifer coolidge, kerry godliman, matt griesser, christopher guest, john michael higgins, michael hitchcock, don lake, jane lynch, christopher moynihan, chris o'dowd, jim piddock, parker posey, harry shearer, fred willard, zach woods, susan yeagley",usa,2016-10-13,2016,tv-ma,1h 35m,comedies,"Eager contestants don big heads and furry suits to vie for the title of World's Best Mascot in this offbeat, comic romp from Christopher Guest.",13-10-2016
s5757,Movie,justin timberlake + the tennessee kids,jonathan demme,justin timberlake,usa,2016-10-12,2016,tv-ma,1h 30m,music & musicals,"On the final nights of a world tour, director Jonathan Demme captures what makes the show soar: gifted musicians, deft dancers and a magnetic star.",12-10-2016
s5758,Movie,13th,ava duvernay,none,usa,2016-10-07,2016,tv-ma,1h 41m,documentaries,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.",07-10-2016
s5759,Movie,russell peters: almost famous,dave higby,russell peters,usa,2016-10-07,2016,tv-ma,1h 13m,stand-up comedy,"The comic comes home to Toronto to sound off on cultural quirks, kids' furniture and bathroom visits, reveling in all things ridiculously human.",07-10-2016
s5760,TV Show,storybots super songs,none,"judy greer, jeff gill, erin fitzgerald, fred tatasciore, gregg spiridellis",usa,2016-10-07,2016,tv-y,1 Season,kids' tv,"Characters from the popular StoryBots apps for early childhood education give musical lessons on math, science, history, behaviors, emotions and more.",07-10-2016
s5761,Movie,the siege of jadotville,richie smyth,"jamie dornan, guillaume canet, emmanuelle seigner, jason o'mara, mikael persbrandt, mark strong, michael mcelhatton, danny sapani, sam keeley, ronan raftery, mike noble, charlie kelly, conor macneill, fionn o'shea, conor quinlan, jordan mifsud","ireland, south africa",2016-10-07,2016,tv-ma,1h 48m,"action & adventure, dramas, international movies","Besieged by overwhelming enemy forces, Irish soldiers on a U.N. peacekeeping mission in Africa valiantly defend their outpost in this true story.",07-10-2016
s5762,Movie,lego jurassic world: the indominus escape,michael d. black,"a.j. locascio, sendhil ramamurthy, fred tatasciore, jake johnson, lauren lapkus, zachary levi, bd wong, david gunning",usa,2016-10-04,2016,tv-y7,25m,"children & family movies, comedies",The scientists of Jurassic World create a captivating and terrifying new creature that loves hot dogs. But what happens when the hot dogs run out?,04-10-2016
s5763,TV Show,be with me,none,"jason tsou, queen wei, river huang, fabien yang, tang chen-kang, figaro tseng",taiwan,2016-10-01,2015,tv-pg,1 Season,"international tv shows, romantic tv shows, tv dramas","They were the boy band to beat until fame tore them apart. Ten years later, five friends and an ex-love reunite and find themselves closer than ever.",01-10-2016
s5764,TV Show,be with you,none,"bobby dou, peijia huang, nylon chen, vivi lee, edison wang, serena fang",taiwan,2016-10-01,2015,tv-14,1 Season,"international tv shows, romantic tv shows, tv dramas","After reconnecting with their girlhood crushes, two sisters find their lives turned upside down by surprising revelations and romantic intrigue.",01-10-2016
s5765,Movie,bombshell,riccardo pilizzeri,"ande cunningham, mark mitchinson, mia pistorius, nathalie boltt, nathan lovejoy, colin moy, jay simon, coen falke, greta gregory, byron coll",new zealand,2016-10-01,2016,tv-ma,1h 26m,dramas,"In 1985, when a vessel protesting nuclear testing is sunk in New Zealand, local police fight to prove it was a terrorist plot by their French allies.",01-10-2016
s5766,Movie,chatô: the king of brazil,guilherme fontes,"marco ricca, andrea beltrão, letícia sabatella, leandra leal, gabriel braga nunes, paulo betti, marcos oliveira, eliane giardini",brazil,2016-10-01,2015,tv-ma,1h 45m,"dramas, international movies","The romanticized life of media mogul Assis Chateaubriand depicts him as the star of a televised trial, where his passions and achievements are judged.",01-10-2016
s5767,TV Show,fall in love with me,none,"aaron yan, tia lee, jack lee, katherine wang, beatrice fang, vince kao, chen bor jeng",taiwan,2016-10-01,2014,tv-14,1 Season,"international tv shows, romantic tv shows, tv comedies",The head of a struggling ad agency finds herself torn between a hotshot executive and a kind stranger – not realizing they're the same person.,01-10-2016
s5768,Movie,harud,aamir bashir,"mohammad amir naji, shahnawaz bhat, shamim basharat, salma ashai, mudessir ahmed khan, rayes mohiuddin",india,2016-10-01,2010,tv-ma,1h 40m,"dramas, international movies","A young Kashmiri man sets out to escape to Pakistan and make sense of his brother's death, but he drifts aimlessly until finding his brother's camera.",01-10-2016
s5769,TV Show,love cheque charge,none,"george hu, phoebe yuan, hsieh kun da, jay shih, smile weng, jet chao, jessie chang",taiwan,2016-10-01,2014,tv-14,1 Season,"international tv shows, romantic tv shows, tv comedies","Three years after making a wild promise to a woman in distress, a rigid businessman runs into her again and must decide whether to honor his word.",01-10-2016
s5770,TV Show,masha's spooky stories,none,none,"usa, russia",2016-10-01,2012,tv-y,1 Season,kids' tv,"Masha explains why there's no need to be scared of things like monsters, the dark, going to a new school, thunder and other common childhood fears.",01-10-2016
s5771,Movie,much ado about nothing,alejandro fernández almendras,"agustín silva, paulina garcía, daniel alcaíno, alejandro goic, luis gnecco, samuel landea, dindi jane, isabella costa, augusto schuster, pilar ronderos","chile, usa, france",2016-10-01,2016,tv-ma,1h 36m,"dramas, independent movies, international movies",Carefree college student Vicente ends up in a desperate fight for freedom when a well-connected friend falsely accuses him of a hit-and-run accident.,01-10-2016
s5772,TV Show,murphy's law of love,none,"danson tang, chia-ying lee, jolin chien, jenna wang, meng-sheng shen, wen-lin fang, wei lin, phoebe huang",taiwan,2016-10-01,2015,tv-pg,1 Season,"international tv shows, romantic tv shows, tv comedies",An online matchmaker who's convinced she's living under a curse finds her theories on life and love tested when she meets a shrewd divorce expert.,01-10-2016
s5773,Movie,my big night,álex de la iglesia,"raphael, mario casas, pepón nieto, blanca suárez, hugo silva, carmen machi, luis callejo, carlos areces, enrique villén, santiago segura, jaime ordoñez, tomás pozzi, carolina bang, ana polvorosa, luis fernández",spain,2016-10-01,2015,tv-ma,1h 37m,"comedies, international movies, music & musicals",An unemployed man gets a job as an extra at the shooting of a New Year's Eve TV special that's beset by crises and seems to go on forever.,01-10-2016
s5774,Movie,my little pony equestria girls: legend of everfree,ishi rudell,"tara strong, rebecca shoichet, ashleigh ball, andrea libman, tabitha st. germain, cathy weseluck, enid-raye adams, brian doe, nicole oliver","usa, canada",2016-10-01,2016,tv-y7,1h 13m,"children & family movies, comedies","The Equestria Girls, human teen counterparts to My Little Pony characters, head to Camp Everfree, where they need a little magic to help save summer.",01-10-2016
s5775,TV Show,old money,david schalko,"udo kier, sunnyi melles, nicholas ofczarek, manuel rubey, nora von waldstätten, thomas stipsits, ursula strauss, robert palfrader, simon schwarz, johannes krisch, lukas miko",usa,2016-10-01,2015,tv-ma,1 Season,"international tv shows, tv comedies, tv dramas","Backstabbing, blackmail and revenge consume the dysfunctional family of a wealthy patriarch as they compete to find him a new liver at all costs.",01-10-2016
s5776,Movie,pac's scary halloween,none,"erin mathews, sam vincent, andrea libman, ashleigh ball, ian james corlett, brian drummond, lee tockar, matt hill",none,2016-10-01,2016,tv-y7,44m,movies,"When sinister Dr. Pacenstein schemes to swap bodies with Pac during a Halloween party, Spiral, Cyli and Count Pacula scramble to save their pal.",01-10-2016
s5777,Movie,riphagen - the untouchable,pieter kuijpers,"jeroen van koningsbrugge, anna raadsveld, sigrid ten napel, peter blok, bob stoop, lisa zweerman, kay greidanus, rené kortekaas, sieger sloot, mark rietman",netherlands,2016-10-01,2016,tv-14,2h 12m,"dramas, international movies","This biopic profiles Andries Riphagen, a Dutch criminal who blackmailed Jews in hiding during World War II and was responsible for hundreds of deaths.",01-10-2016
s5778,TV Show,someone like you,none,"kingone wang, lorene ren, sean lee, nita lei, william liao",taiwan,2016-10-01,2015,tv-14,1 Season,"international tv shows, romantic tv shows, tv dramas","After losing his sight and his fiancee in an accident, a man hires a caregiver who mysteriously sounds – and looks – just like his late girlfriend.",01-10-2016
s5779,Movie,umrika,prashant nair,"suraj sharma, tony revolori, smita tambe, adil hussain, rajesh tailang, prateik babbar, pramod pathak, amit sial, sauraseni maitra",india,2016-10-01,2015,tv-ma,1h 36m,"dramas, independent movies, international movies","An ambitious man leaves his small Indian village for America. But when his letters to home stop coming, his brother sets out on his own adventure.",01-10-2016
s5780,Movie,unchained: the untold story of freestyle motocross,"paul taublieb, jon freeman",josh brolin,usa,2016-10-01,2016,tv-ma,1h 32m,"documentaries, sports movies","This adrenaline-rush documentary traces the rise of freestyle motocross, arguably the world's most extreme sport, and spotlights its pioneers.",01-10-2016
s5781,Movie,welcome mr. president,riccardo milani,"claudio bisio, kasia smutniak, beppe fiorello, remo girone, massimo popolizio, cesare bocci, omero antonutti, michele alhaique, franco ravera, patrizio rispo, piera degli esposti, gianni cavina",italy,2016-10-01,2013,tv-ma,1h 39m,"comedies, international movies","When frustrated politicians name a historical figure as the next president, an honest, humble man by the same name suddenly becomes Italy's leader.",01-10-2016
s5782,TV Show,when i see you again,none,"jasper liu, mandy wei, jet chao, ivy shao, tina chou, kao meng-chieh",taiwan,2016-10-01,2015,tv-14,1 Season,"international tv shows, romantic tv shows, tv comedies","On a visit to his hometown, a rich bachelor seeks revenge on the woman who broke his heart 10 years ago. But his plan doesn't go as expected.",01-10-2016
s5783,Movie,amanda knox,"rod blackhurst, brian mcginn",none,"denmark, usa",2016-09-30,2016,tv-ma,1h 32m,documentaries,She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.,30-09-2016
s5784,Movie,audrie & daisy,"bonni cohen, jon shenk",none,usa,2016-09-23,2016,tv-ma,1h 39m,documentaries,"In this wrenching documentary, two teens are sexually assaulted by boys they considered friends, humiliated online and harassed by their communities.",23-09-2016
s5785,Movie,iliza shlesinger: confirmed kills,bobcat goldthwait,iliza shlesinger,usa,2016-09-23,2016,tv-ma,1h 18m,stand-up comedy,"The stand-up sensation tackles TV's ""Shark Tank,"" what it means to be a woman and how to deal with the lawless party goblin that lives in us all.",23-09-2016
s5786,TV Show,veggietales in the house,none,"phil vischer, mike nawrocki, rob paulsen, tress macneille",usa,2016-09-23,2016,tv-y,4 Seasons,kids' tv,"Bob the Tomato, Larry the Cucumber and their Veggie pals venture beyond the kitchen counter in these playful adventures with Christian themes.",23-09-2016
s5787,Movie,"karol modzelewski, łukasz „lotek” lodkowski no offense",none,"karol modzelewski, łukasz ""lotek” lodkowski",none,2016-09-19,2016,tv-ma,1h 5m,stand-up comedy,"Charismatic comedy pals Karol Modzelewski and Łukasz ""Lotek"" Lodkowski bring their mischievous brand of humor to Warsaw's Klub Hybrydy.",19-09-2016
s5788,Movie,"katarzyna piasecka, rafał pacześ seriously funny",none,"katarzyna piasecka, rafał pacześ",none,2016-09-19,2016,tv-ma,1h 5m,stand-up comedy,Polish comedians Rafał Pacześ and Katarzyna Piasecka hit the stage at Warsaw's Klub Hybrydy for a night of funny anecdotes and sly jokes.,19-09-2016
s5789,Movie,"mariusz kałamaga, karol kopiec, wiolka walaszczyk hilarious trio",none,"mariusz kałamaga, karol kopiec, wiolka walaszczyk",none,2016-09-19,2016,tv-ma,1h 9m,stand-up comedy,"Comedians Mariusz Kałamaga, Karol Kopiec and Wiolka Walaszczyk deliver an eclectic and energetic stand-up show at Klub Hybrydy in Warsaw.",19-09-2016
s5790,Movie,"rafał banaś, michał leja laugh out loud",none,"rafał banaś, michał leja",none,2016-09-19,2016,tv-ma,1h 4m,stand-up comedy,Young Polish comedians Rafał Banaś and Michał Leja present a high-energy stand-up show at Warsaw's Klub Hybrydy.,19-09-2016
s5791,Movie,the best of rafał rutkowski olka szczęśniak,none,"rafał rutkowski, olka szczęśniak",none,2016-09-19,2016,tv-ma,1h 3m,stand-up comedy,"""Recipe for Life"" star Rafał Rutkowski and Comedy Lab's Olka Szczęśniak serve up humorous impressions and wry wit at Warsaw's Klub Hybrydy.",19-09-2016
s5792,Movie,"tomasz jachimek, jacek stramik laugh at live",none,"tomasz jachimek, jacek stramik",none,2016-09-19,2016,tv-ma,1h 3m,stand-up comedy,"Writer, actor and satirist Tomasz Jachimek teams up with comedian Jacek Stramik for a night of subversive stand-up at Klub Hybrydy in Warsaw.",19-09-2016
s5793,Movie,arq,tony elliott,"robbie amell, rachael taylor, shaun benson, gray powell, jacob neayem, adam butcher, tantoo cardinal","canada, usa",2016-09-16,2016,tv-ma,1h 29m,"international movies, sci-fi & fantasy, thrillers","Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity.",16-09-2016
s5794,Movie,cedric the entertainer: live from the ville,troy miller,cedric the entertainer,usa,2016-09-16,2016,tv-ma,1h,stand-up comedy,"Donning his signature suit and fedora, the dapper comic offers a unique spin on getting old, the presidential election and ""Honky Tonk Badonkadonk.""",16-09-2016
s5795,Movie,louis c.k.: hilarious,louis c.k.,louis c.k.,usa,2016-09-16,2010,1h 24m,unknown,movies,"Emmy-winning comedy writer Louis C.K. brings his caustic wit to Milwaukee, offering up his unique and uncensored take on sex, parenting and more.",16-09-2016
s5796,Movie,the white helmets,orlando von einsiedel,none,uk,2016-09-16,2016,tv-pg,41m,documentaries,"As daily airstrikes pound civilian targets in Syria, a group of indomitable first responders risk their lives to rescue victims from the rubble.",16-09-2016
s5797,Movie,sample this,dan forrer,gene simmons,usa,2016-09-15,2012,tv-14,1h 23m,"documentaries, music & musicals","This doc traces the impact of the Incredible Bongo Band's ""Apache,"" which played a key role in the birth of hip-hop after Kool Herc began sampling it.",15-09-2016
s5798,Movie,extremis,dan krauss,none,usa,2016-09-13,2016,tv-pg,25m,documentaries,"Witness the wrenching emotions that accompany end-of-life decisions as doctors, patients and families in a hospital ICU face harrowing choices.",13-09-2016
s5799,Movie,jandino: whatever it takes,none,jandino asporaat,uk,2016-09-09,2016,tv-ma,1h 34m,stand-up comedy,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show.",09-09-2016
s5800,TV Show,chef's table: france,none,none,none,2016-09-02,2016,tv-14,1 Season,docuseries,Sample the bold new flavors of France with chefs who are pushing the boundaries of fine dining and reinventing a rich culinary tradition.,02-09-2016
s5801,TV Show,kulipari: an army of frogs,none,"mark hamill, keith david, wendie malick, josh keaton, mikey kelley, phil lamarr, laraine newman, jess harnell, charles adler, amy margolis, cree summer, lacey chabert, rolonda watts, kevin michael richardson, candi milo",usa,2016-09-02,2016,tv-y7,1 Season,kids' tv,"In a tale of bravery and heroism, fearless frogs go to war against the sinister scorpions and spiders that have teamed up to conquer the amphibians.",02-09-2016
s5802,TV Show,conspiracy,none,mark bazeley,uk,2016-09-01,2015,tv-14,1 Season,"british tv shows, docuseries","Skeptics and others discuss widely held conspiracy theories involving aliens, government cover-ups, secret assassinations and other intrigues.",01-09-2016
s5803,TV Show,dead set,none,"jaime winstone, andy nyman, kevin eldon, davina mccall, warren brown, riz ahmed, beth cordingly, kathleen mcdermott, raj ghatak",uk,2016-09-01,2008,tv-ma,1 Season,"british tv shows, tv horror, tv thrillers","While the housemates in the Big Brother house remain oblivious, fast-moving hordes of the undead decimate the studio compound.",01-09-2016
s5804,TV Show,forensic files,none,peter thomas,usa,2016-09-01,2011,tv-ma,9 Seasons,"crime tv shows, docuseries, science & nature tv",Detectives and crime lab technicians use the latest and most fascinating procedures to solve crimes in this documentary-style show.,01-09-2016
s5805,Movie,saudi arabia uncovered,none,none,uk,2016-09-01,2016,tv-14,52m,documentaries,"Undercover cameras expose public floggings, executions and other brutality in Saudi Arabia, and introduce those risking their own lives for change.",01-09-2016
s5806,TV Show,the fierce wife,none,"sonia sui, james wen, amanda chu, chris wang, karen ying-chen hu, patrick lee, janel tsai, li-li pan, fu lei",taiwan,2016-09-01,2010,tv-ma,1 Season,"international tv shows, romantic tv shows, tv dramas",Beautiful housewife Xie An Zhen seems to be living the perfect life but finds her world crumbling after learning that her husband is cheating on her.,01-09-2016
s5807,TV Show,witches: a century of murder,none,suzannah lipscomb,uk,2016-09-01,2015,tv-14,1 Season,"british tv shows, crime tv shows, docuseries","Historian Suzannah Lipscomb investigates the witch hunts that plagued Britain in the 17th century, examining common myths about their origin.",01-09-2016
s5808,TV Show,glitter force,none,"laura bailey, kate higgins, alex cazares, colleen o'shaughnessey, danielle nicole, debi derryberry, mary elizabeth mcglynn, patrick seitz, keith silverstein",japan,2016-08-26,2016,tv-y7,2 Seasons,"anime series, kids' tv",Five preteen girls learn they're a legendary superhero squad known as the Glitter Force. Their mission? To defend Earth from evil fairy-tale villains.,26-08-2016
s5809,Movie,jeff foxworthy and larry the cable guy: we’ve been thinking...,jay karas,"jeff foxworthy, larry the cable guy",usa,2016-08-26,2016,tv-14,1h 15m,stand-up comedy,Grammy-nominated comedians Jeff Foxworthy and Larry the Cable Guy bring their distinctive brand of humor to a packed crowd in Minneapolis.,26-08-2016
s5810,Movie,xoxo,christopher louie,"sarah hyland, graham phillips, chris d'elia, hayley kiyoko, brett delbuono, ryan hansen, ian anthony dale, ione skye, colin woodell, lamonica garrett, brianne howey",usa,2016-08-26,2016,tv-ma,1h 32m,"dramas, music & musicals","The lives of a budding DJ, his loyal pal, a hopeless romantic, a jaded has-been and a troubled couple intersect at an electronic dance music festival.",26-08-2016
s5811,Movie,i'll sleep when i'm dead,justin krook,steve aoki,usa,2016-08-19,2016,tv-ma,1h 20m,"documentaries, music & musicals","Superstar DJ Steve Aoki reflects on the driving force behind his career: his ambitious father, Benihana founder and perennial daredevil Rocky Aoki.",19-08-2016
s5812,TV Show,behind enemy lines,none,none,usa,2016-08-15,2001,tv-14,1 Season,"british tv shows, docuseries","After dire setbacks in 1940, Winston Churchill commissions a new kind of fighting force: commandos trained to use stealth and audacious tactics.",15-08-2016
s5813,TV Show,caught on camera,none,nick wallis,uk,2016-08-15,2015,tv-ma,3 Seasons,"british tv shows, crime tv shows, docuseries","Nick Wallis presents crimes caught on CCTV, cell phones and other devices and reveals how investigators use the recordings to solve tough cases.",15-08-2016
s5814,Movie,louis c.k.: live at the comedy store,louis c.k.,louis c.k.,usa,2016-08-15,2015,1h 6m,unknown,movies,"The comic puts his trademark hilarious/thought-provoking spin on finding a bat in his kitchen, seeing rats having sex, Boston accents and dead pets.",15-08-2016
s5815,Movie,real crime: supermarket heist (tesco bomber),none,none,uk,2016-08-15,2010,tv-14,46m,documentaries,"In 2000, U.K. detectives spent months tracking a criminal known only as Sally, who was targeting a supermarket chain with extortion and letter bombs.",15-08-2016
s5816,Movie,jim gaffigan: beyond the pale,michael drumm,jim gaffigan,usa,2016-08-11,2005,tv-14,1h 12m,stand-up comedy,"Comedian Jim Gaffigan cuts loose on a variety of topics, including Hot Pockets, holidays, Catholicism and his favorite activity: doing nothing.",11-08-2016
s5817,Movie,jim gaffigan: king baby,troy miller,jim gaffigan,usa,2016-08-11,2009,tv-pg,1h 11m,stand-up comedy,"Jim Gaffigan offers up his take on bacon, bowling and other weighty topics in this stand-up performance filmed live in Austin on his 2008 comedy tour.",11-08-2016
s5818,Movie,jim gaffigan: mr. universe,jay karas,jim gaffigan,usa,2016-08-11,2012,tv-14,1h 17m,stand-up comedy,"Funnyman Jim Gaffigan offers up his unique take on everything from Disney World to overweight whales in this live show from Washington, D.C.",11-08-2016
s5819,Movie,jim gaffigan: obsessed,jay chapman,jim gaffigan,usa,2016-08-11,2014,tv-14,1h 10m,stand-up comedy,"Comic Jim Gaffigan delivers his sardonic take on topics like eating, exercise, weddings and his five kids in this live stand-up special.",11-08-2016
s5820,Movie,david cross: making america great again!,alex coletti,david cross,usa,2016-08-05,2016,tv-ma,1h 13m,stand-up comedy,"Cross skewers Donald Trump, religious taboos and American swagger in a provocative night of comedy at the Paramount Theatre in Austin, Texas.",05-08-2016
s5821,Movie,lavell crawford: can a brother get some love?,michael drumm,lavell crawford,usa,2016-08-02,2011,tv-ma,1h 21m,stand-up comedy,"""Last Comic Standing"" runner-up Lavell Crawford lords over a hometown crowd at St. Louis's Orpheum Theatre, raking in the love – and the laughs.",02-08-2016
s5822,Movie,children of god,john smithson,none,uk,2016-08-01,1994,tv-ma,1h 3m,documentaries,"A former member examines the lingering effects of being raised in the Family, a cult whose disturbing practices include the sexual abuse of children.",01-08-2016
s5823,TV Show,cocaine,none,none,uk,2016-08-01,2005,tv-14,1 Season,"british tv shows, crime tv shows, docuseries","Three films chronicle the cocaine trade's sweeping impact on the citizens of Peru, Brazil and Colombia, from poor farmers to powerful drug lords.",01-08-2016
s5824,TV Show,edge of the universe,none,none,uk,2016-08-01,2008,tv-g,1 Season,"british tv shows, docuseries, science & nature tv","Leading astronomers reveal the latest discoveries about death-trap planets, asteroids, comets and other wonders of the cosmos.",01-08-2016
s5825,Movie,interview with a serial killer,christopher martin,arthur shawcross,usa,2016-08-01,2008,tv-ma,45m,documentaries,"In this jailhouse interview, Arthur Shawcross, the Genesee River Killer, shares candid details of his crimes and his surprising family bonds.",01-08-2016
s5826,TV Show,la esclava blanca,none,"nerea camacho, orián suárez, miguel de miguel, modesto lacen, norma martínez, ricardo vesga, viña machado, andrés suárez, natasha klauss, miroslava morales",colombia,2016-08-01,2016,tv-ma,1 Season,"international tv shows, spanish-language tv shows, tv dramas","In Colombia in 1821, a white orphan is taken in by black slaves. Years after being torn from them, she returns to find her family and childhood love.",01-08-2016
s5827,Movie,real crime: diamond geezers,tom whitter,forbes kb,uk,2016-08-01,2008,tv-14,46m,documentaries,"In an attempted heist worthy of a Hollywood film, a cadre of criminals sets out to steal the world's largest perfect diamond from a London landmark.",01-08-2016
s5828,TV Show,lego bionicle: the journey to one,none,"nolan balzer, paolo bryant, jacqui fox, quinn greene, geoff hughes, cory hunter, william jordan, corny rempel, michael strickland",usa,2016-07-29,2016,tv-y7,2 Seasons,kids' tv,Six legendary heroes find themselves on an epic quest as they harness the power of nature's elements to defeat the forces of evil.,29-07-2016
s5829,Movie,tallulah,sian heder,"ellen page, allison janney, tammy blanchard, evan jonigkeit, uzo aduba, john benjamin hickey, david zayas, zachary quinto, fredric lehne",usa,2016-07-29,2016,tv-ma,1h 52m,"dramas, independent movies","While searching for her ex-boyfriend, a young drifter impulsively kidnaps a baby from a neglectful mother and pretends the child is her own.",29-07-2016
s5830,TV Show,popples,none,"erin fitzgerald, wendee lee, cassandra morris, cindy robinson, reba buhr, ben diskin, ezra weisz, karen strassman","usa, france",2016-07-24,2016,tv-y,3 Seasons,kids' tv,"The adorable Best Popple Pals love helping their friends and neighbors, but every time they do it seems to backfire in hilarious ways.",24-07-2016
s5831,Movie,rebirth,karl mueller,"fran kranz, adam goldberg, nicky whelan, luis gerardo méndez, harry hamlin, pat healy, kat foster, andrew j. west, eric ladin, steve agee",usa,2016-07-15,2016,tv-ma,1h 41m,"dramas, thrillers","Long-lost buddy Zack gets suburban dad Kyle on a bus to a Rebirth seminar, sending him down a rabbit hole of psychodrama, seduction and violence.",15-07-2016
s5832,Movie,tony robbins: i am not your guru,joe berlinger,tony robbins,usa,2016-07-15,2016,tv-ma,1h 57m,documentaries,Tony Robbins' clients swear by his unorthodox life coaching methods. A revealing film goes behind the curtain at his annual mega-event.,15-07-2016
s5833,Movie,gridlocked,allan ungar,"dominic purcell, cody hackman, stephen lang, trish stratus, danny glover, vinnie jones, saul rubinek, richard gunn, steve byers, james a. woods",canada,2016-07-14,2015,r,1h 54m,action & adventure,"An embittered cop is tasked with baby-sitting a spoiled actor, but the two must learn to fight together when they run afoul of a group of mercenaries.",14-07-2016
s5834,Movie,brahman naman,qaushiq mukherjee,"shashank arora, tanmay dhanania, chaitanya varad, vaishwath shankar, sindhu sreenivasa murthy, sid mallya, denzil smith","india, uk",2016-07-06,2016,tv-ma,1h 36m,"comedies, independent movies, international movies",This homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything – except how to talk to women.,06-07-2016
s5835,TV Show,kuromukuro,tensai okamura,"yohei azakami, m・a・o, reina ueda, asami seto, kaito ishikawa, yusuke kobayashi, shunsuke takeuchi, manami sugihira, momo asakura, kanako tojo, ryohei kimura, hikaru ueda, taiten kusunoki",japan,2016-07-04,2016,tv-14,2 Seasons,"anime series, international tv shows","When mecha attack a research center, its students, pilots, and researchers must fight back with the help of mysterious artifacts and a young samurai.",04-07-2016
s5836,Movie,jim jefferies: freedumb,ryan polito,jim jefferies,usa,2016-07-01,2016,tv-ma,1h 27m,stand-up comedy,"Returning for a second Netflix comedy special, Jim Jefferies unleashes his famously ferocious black humor to a packed house in Nashville, Tennessee.",01-07-2016
s5837,TV Show,marco polo,none,"lorenzo richelmy, benedict wong, chin han, joan chen, michelle yeoh, rick yune, claudia kim, remy hii, zhu zhu, tom wu, mahesh jadu, olivia cheng, uli latukefu, pierfrancesco favino, jacqueline chan, leonard wu, gabriel byrne",usa,2016-07-01,2016,tv-ma,2 Seasons,"tv action & adventure, tv dramas","Set in a world of greed, betrayal, sexual intrigue and rivalry, “Marco Polo” is based on the famed explorer’s adventures in Kublai Khan’s court.",01-07-2016
s5838,Movie,x: past is present,"hemant gaba, pratim d. gupta, sudhish kamath, nalan kumarasamy, anu menon, sandeep mohan, qaushiq mukherjee, rajshree ojha, raja sen, abhinav shiv tiwari, suparn verma","anshuman jha, rajat kapoor, pooja ruparel, piaa bajpai, huma qureshi, usha uthup, radhika apte, swara bhaskar",india,2016-07-01,2015,tv-ma,1h 45m,"dramas, independent movies, international movies","When a middle-aged filmmaker meets an alluring stranger at a party, he's haunted by troubling memories of his past relationships.",01-07-2016
s5839,TV Show,justin time go!,none,"drew davis, scott mccord, jenna warren",none,2016-06-24,2016,tv-y,1 Season,kids' tv,"A young boy's imagination takes him throughout the world and history, where he learns life lessons and has tons of fun with two make-believe friends.",24-06-2016
s5840,Movie,sofía niño de rivera: exposed,"raúl campos, jan suter",sofía niño de rivera,mexico,2016-06-24,2016,tv-ma,1h 20m,stand-up comedy,Self-deprecating comic Sofía Niño de Rivera puts her sarcasm on full display in this stand-up special filmed live at Guadalajara's Degollado Theater.,24-06-2016
s5841,Movie,the fundamentals of caring,rob burnett,"paul rudd, craig roberts, selena gomez, jennifer ehle, megan ferguson, frederick weller, bobby cannavale",usa,2016-06-24,2016,tv-ma,1h 37m,"comedies, dramas, independent movies","In this inspirational buddy comedy, a young shut-in and his caregiver take a road trip in search of landmarks, but end up finding hope and friendship.",24-06-2016
s5842,Movie,ip man 3,wilson yip,"donnie yen, zhang jin, lynn hung, patrick tam, karena ng, kent cheng, bryan leung, louis cheung, danny chan, mike tyson, babyjohn choi","china, hong kong",2016-06-18,2015,pg-13,1h 45m,"action & adventure, dramas, international movies","Martial arts master Ip springs into action when his son's school is threatened by a shady American, then defends his status as wing chun champion.",18-06-2016
s5843,Movie,bo burnham: make happy,"bo burnham, christopher storer",bo burnham,usa,2016-06-03,2016,tv-ma,1h,"music & musicals, stand-up comedy","Combining his trademark wit and self-deprecating humor with original music, Bo Burnham offers up his unique twist on life in this stand-up special.",03-06-2016
s5844,TV Show,hibana: spark,none,"kento hayashi, kazuki namioka, mugi kadowaki, masao yoshii, hideaki murata, nahana, sayaka yamamoto, shota sometani, tomorowo taguchi, kaoru kobayashi",japan,2016-06-02,2016,tv-ma,1 Season,"international tv shows, tv dramas",A dramatic series about friendship and conflict between two comedians who search for meaning in life and comedy. Based on the prize-winning book.,02-06-2016
s5845,TV Show,72 cutest animals,none,none,australia,2016-06-01,2016,tv-pg,1 Season,"docuseries, international tv shows, science & nature tv",This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments.,01-06-2016
